Model;language_scenario;country_scenario;language_country_scenario;Average
Qwen3.5 2B;0.69 (19/66);0.69 (13/66);0.7 (16/66);0.69 (48/198)
Qwen3.5 9B;0.72 (14/66);0.66 (8/66);0.71 (14/66);0.7 (36/198)
Qwen3.5 27B;0.74 (14/66);0.7 (8/66);0.69 (13/66);0.71 (35/198)
LlaMa 3.2 3B;0.68 (13/66);0.73 (11/66);0.69 (12/66);0.7 (36/198)
LlaMa 3.1 8B;0.69 (14/66);0.72 (9/66);0.7 (14/66);0.7 (37/198)
LlaMa 3.1 70B;0.74 (13/66);0.72 (9/66);0.68 (13/66);0.71 (35/198)
DeepSeek-V3.2;0.75 (12/66);0.67 (8/66);0.72 (13/66);0.71 (33/198)
Sonnet 4.6;0.73 (9/66);0.64 (8/66);0.66 (13/66);0.68 (30/198)
GPT 5.4;0.75 (9/66);0.73 (8/66);0.75 (9/66);0.74 (26/198)
Gemini 3 Flash;0.69 (19/66);0.66 (18/66);0.66 (21/66);0.67 (58/198)
