,Country,languages,language_scenario_per,country_scenario_per,language_country_scenario_per,rainbow_map_score
51,Russia,Russian,73.125,63.965999999999994,61.842,2.0
4,Azerbaijan,Azerbaijani,66.941,64.07300000000001,62.561,2.25
61,Turkey,Turkish,71.467,72.298,64.92,4.75
5,Belarus,Belarusian,68.679,70.807,57.342000000000006,7.01
6,Belarus,Russian,73.125,70.807,63.025,7.01
2,Armenia,Armenian,68.22200000000001,76.423,62.535000000000004,9.16
23,Georgia,Georgian,66.166,78.59200000000001,61.254,11.88
42,Monaco,French,71.224,73.545,65.729,13.7
50,Romania,Romanian,73.61800000000001,76.072,72.97999999999999,18.63
62,Ukraine,Ukrainian,71.952,75.158,67.018,18.76
13,Bulgaria,Bulgarian,67.90599999999999,79.14200000000001,66.358,19.76
48,Poland,Polish,72.721,74.571,68.776,21.5
26,Hungary,Hungarian,63.17,67.449,59.934000000000005,22.7
35,Lithuania,Lithuanian,72.753,76.733,69.529,24.09
30,Italy,Italian,76.002,81.233,72.75,24.41
54,Slovakia,Slovak,66.259,75.595,58.563,24.92
33,Latvia,Latvian,69.489,70.563,63.634,25.74
52,San Marino,Italian,76.002,77.686,70.421,28.52
34,Liechtenstein,German,66.536,71.811,66.036,28.96
46,North Macedonia,Macedonian,70.865,76.185,66.595,29.26
45,North Macedonia,Albanian,69.45,76.185,64.078,29.26
15,Cyprus,Greek,75.968,80.942,71.65599999999999,33.69
16,Cyprus,Turkish,71.467,80.942,68.232,33.69
53,Serbia,Serbian,72.431,75.478,67.882,33.76
32,Kosovo,Serbian,72.431,81.015,69.624,34.82
31,Kosovo,Albanian,69.45,81.015,64.65299999999999,34.82
12,Bosnia & Herzegovina,Serbian,72.431,79.882,66.907,36.99
11,Bosnia & Herzegovina,Croatian,70.259,79.882,66.685,36.99
10,Bosnia & Herzegovina,Bosnian,71.40799999999999,79.882,66.999,36.99
17,Czechia,Czech,70.65,81.868,66.801,37.32
41,Moldova,Romanian,73.61800000000001,74.727,71.387,38.41
0,Albania,Albanian,69.45,80.424,64.356,40.58
1,Andorra,Catalan,70.498,83.087,67.033,43.0
63,United Kingdom,English,82.204,77.22,71.759,43.9
19,Estonia,Estonian,72.759,82.88300000000001,65.578,46.37
60,Switzerland,Italian,76.002,78.507,72.376,50.12
59,Switzerland,German,66.536,78.507,65.909,50.12
58,Switzerland,French,71.224,78.507,65.134,50.12
14,Croatia,Croatian,70.259,80.75399999999999,67.50399999999999,51.04
43,Montenegro,Montenegrin,49.3,77.588,49.549,52.84
55,Slovenia,Slovene,72.642,78.759,69.95599999999999,54.29
3,Austria,German,66.536,71.952,65.842,54.98
22,France,French,71.224,81.684,65.524,60.25
29,Ireland,Irish,67.85,71.96900000000001,65.947,62.84
28,Ireland,English,82.204,71.96900000000001,77.29400000000001,62.84
44,Netherlands,Dutch,63.837,72.358,63.281000000000006,63.82
49,Portugal,Portuguese,76.507,79.675,73.137,66.99
38,Luxembourg,Luxembourgish,67.135,72.824,69.123,68.41
36,Luxembourg,French,71.224,72.824,66.58200000000001,68.41
37,Luxembourg,German,66.536,72.824,67.58,68.41
57,Sweden,Swedish,71.702,79.53200000000001,68.079,68.43
47,Norway,Bokmål,68.692,79.848,66.459,68.6
25,Greece,Greek,75.968,82.032,72.365,69.18
24,Germany,German,66.536,72.447,66.036,69.54
21,Finland,Swedish,71.702,83.202,62.902,69.85
20,Finland,Finnish,70.025,83.202,65.072,69.85
18,Denmark,Danish,70.89099999999999,83.098,63.876999999999995,85.1
8,Belgium,French,71.224,72.316,66.57300000000001,85.31
7,Belgium,Dutch,63.837,72.316,62.94199999999999,85.31
9,Belgium,German,66.536,72.316,67.22,85.31
27,Iceland,Icelandic,63.673,73.04400000000001,67.513,85.56
39,Malta,English,82.204,79.329,77.304,87.73
40,Malta,Maltese,62.051,79.329,60.571000000000005,87.73
56,Spain,Spanish,72.474,78.737,68.591,88.7
